epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.384,1.95876,2.05247,1.19227,0.7035,0.5992,0.6685,0.3129,1.83098,1.59497,1.19032,0.000662791,0.000662791,0.000662791
2,1734.79,1.95006,1.59626,1.20344,0.59816,0.52405,0.56303,0.24532,1.90705,1.57387,1.20419,0.00130313,0.00130313,0.00130313
3,2559.59,1.96058,1.42778,1.20992,0.60413,0.49248,0.5124,0.21103,2.04495,1.51946,1.29772,0.00191708,0.00191708,0.00191708
4,3361.01,1.93194,1.35251,1.20949,0.77078,0.64078,0.7203,0.33426,1.82514,1.28457,1.21498,0.0018812,0.0018812,0.0018812
5,4193.09,1.87981,1.26757,1.19015,0.73983,0.59118,0.67063,0.29195,1.95456,1.26454,1.27849,0.0018416,0.0018416,0.0018416
6,4984.52,1.87854,1.22926,1.18259,0.77707,0.66185,0.74473,0.34877,1.79268,1.1784,1.18256,0.001802,0.001802,0.001802
7,5771.93,1.80632,1.15928,1.16117,0.84919,0.65164,0.76655,0.37453,1.79612,1.09839,1.1876,0.0017624,0.0017624,0.0017624
8,6733.55,1.79312,1.14392,1.14957,0.84863,0.72295,0.8103,0.39619,1.77196,1.02856,1.18597,0.0017228,0.0017228,0.0017228
9,7645.19,1.78112,1.07696,1.14262,0.82085,0.68409,0.77971,0.37706,1.80817,1.09635,1.18763,0.0016832,0.0016832,0.0016832
10,8674.71,1.74214,1.0461,1.13236,0.82226,0.71593,0.79791,0.38063,1.74963,1.15531,1.1443,0.0016436,0.0016436,0.0016436
11,9670.81,1.74952,1.03671,1.12798,0.76233,0.65481,0.7231,0.33551,1.79346,1.14219,1.16941,0.001604,0.001604,0.001604
12,10454.8,1.72614,1.03054,1.12932,0.86145,0.7632,0.85393,0.44809,1.62841,0.90842,1.1133,0.0015644,0.0015644,0.0015644
13,11260.1,1.6953,0.99059,1.10134,0.86576,0.71142,0.81463,0.40825,1.7397,0.92365,1.14618,0.0015248,0.0015248,0.0015248
14,12061.6,1.70822,0.99131,1.11365,0.88124,0.75095,0.8464,0.41604,1.69831,0.92834,1.12432,0.0014852,0.0014852,0.0014852
15,12874.9,1.68148,0.95698,1.09679,0.87185,0.7703,0.84989,0.44098,1.62555,0.90173,1.10078,0.0014456,0.0014456,0.0014456
